question,answer
hi,hello how can i help you
hello,hello how can i help you
hey,hello how can i help you
good morning,hello how can i help you
good afternoon,hello how can i help you
good evening,hello how can i help you
hey there,hello how can i help you
hello there,hello how can i help you
hi there,hello how can i help you
greetings,hello how can i help you
howdy,hello how can i help you
hey bot,hello how can i help you
hello bot,hello how can i help you
is anyone there,hello how can i help you
hi can you help,hello how can i help you
hello assistant,hello how can i help you
good day,hello how can i help you
hey assistant,hello how can i help you
what is your name,i am a virtual assistant
who are you,i am a virtual assistant
whats your name,i am a virtual assistant
tell me your name,i am a virtual assistant
do you have a name,i am a virtual assistant
what should i call you,i am a virtual assistant
who am i talking to,i am a virtual assistant
what are you,i am a virtual assistant
introduce yourself,i am a virtual assistant
are you a bot,i am a virtual assistant
are you human,i am a virtual assistant
what kind of bot are you,i am a virtual assistant
your name please,i am a virtual assistant
may i know your name,i am a virtual assistant
what do they call you,i am a virtual assistant
who is this,i am a virtual assistant
identify yourself,i am a virtual assistant
what is this assistant called,i am a virtual assistant
how are you,i am doing great thank you
how are you doing,i am doing great thank you
how is it going,i am doing great thank you
hows it going,i am doing great thank you
how do you feel,i am doing great thank you
are you okay,i am doing great thank you
how are things,i am doing great thank you
whats up,i am doing great thank you
how have you been,i am doing great thank you
you doing well,i am doing great thank you
how is your day,i am doing great thank you
how is everything,i am doing great thank you
are you good,i am doing great thank you
hope you are well,i am doing great thank you
how you doing,i am doing great thank you
is everything fine with you,i am doing great thank you
how is life,i am doing great thank you
are you alright,i am doing great thank you
thank you,you are very welcome
thanks,you are very welcome
thanks a lot,you are very welcome
thank you so much,you are very welcome
many thanks,you are very welcome
i appreciate it,you are very welcome
thanks for the help,you are very welcome
thank you very much,you are very welcome
cheers,you are very welcome
thanks so much,you are very welcome
appreciate it,you are very welcome
thank you kindly,you are very welcome
thanks a bunch,you are very welcome
much appreciated,you are very welcome
thanks indeed,you are very welcome
thank u,you are very welcome
thanks friend,you are very welcome
thanks for everything,you are very welcome
bye,goodbye have a nice day
goodbye,goodbye have a nice day
see you,goodbye have a nice day
see you later,goodbye have a nice day
farewell,goodbye have a nice day
i am leaving,goodbye have a nice day
talk to you later,goodbye have a nice day
catch you later,goodbye have a nice day
bye bye,goodbye have a nice day
good night,goodbye have a nice day
i have to go,goodbye have a nice day
take care,goodbye have a nice day
see ya,goodbye have a nice day
until next time,goodbye have a nice day
im off,goodbye have a nice day
later,goodbye have a nice day
have to leave now,goodbye have a nice day
signing off,goodbye have a nice day
what are your hours,we are open from nine to five
when are you open,we are open from nine to five
what time do you open,we are open from nine to five
what time do you close,we are open from nine to five
are you open now,we are open from nine to five
business hours,we are open from nine to five
opening hours,we are open from nine to five
when do you close,we are open from nine to five
